donor_group,recipient_group,compatible,rule_type,source_note
A+,A+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A+,A-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A+,B+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A+,B-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A+,AB+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A+,AB-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A+,O+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A+,O-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A-,A+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A-,A-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
